ID,Gender,Car_Owner,Property_Owner,Children,Annual_Income,Income_Type,Education,Marital_Status,Housing_Type,Mobile_ph,Work_ph,ph,Email_Id,Occupation_Type,Family_Members,Age,Work_Experience,Outcome
27,F,N,Y,0,78750.96185,Pensioner,Secondary / secondary special,Married,House / apartment,1,0,1,0,Managers,2,60,0,1
28,M,N,Y,0,292500,Working,Secondary / secondary special,Married,House / apartment,1,0,0,0,High skill tech staff,2,30,9.178082192,1
29,M,N,N,0,380250,Commercial associate,Higher education,Married,House / apartment,1,0,0,0,Managers,2,55,1.893150685,1
30,F,N,Y,0,90000,Working,Lower secondary,Single / not married,Rented apartment,1,0,0,0,Cleaning staff,2,33,13.06849315,1
31,F,N,Y,0,112500,Pensioner,Secondary / secondary special,Married,House / apartment,1,0,1,1,Drivers,2,60,0,1
32,F,N,N,0,135000,Working,Higher education,Single / not married,House / apartment,1,0,0,0,Laborers,1,29,6.55890411,1
33,F,Y,N,1,135000,Working,Secondary / secondary special,Married,House / apartment,1,1,0,0,Sales staff,3,44,1.052054795,1
34,M,N,Y,0,180000,Working,Secondary / secondary special,Married,House / apartment,1,0,0,0,Core staff,2,36,9.991780822,1
35,M,Y,N,0,112500,State servant,Secondary / secondary special,Single / not married,House / apartment,1,0,0,0,Drivers,2,56,4.235616438,1
36,M,Y,Y,0,292500,Working,Higher education,Married,House / apartment,1,0,0,0,Drivers,2,58,2.21369863,1
37,F,Y,Y,0,76500,Pensioner,Secondary / secondary special,Married,House / apartment,1,0,0,0,High skill tech staff,2,65,0,1
38,M,Y,Y,0,215100,Commercial associate,Secondary / secondary special,Married,House / apartment,1,0,1,0,Laborers,2,53,3.520547945,1
39,M,Y,Y,0,380250,Commercial associate,Higher education,Separated,House / apartment,1,1,1,0,Sales staff,1,44,2.342465753,1
40,F,Y,N,2,270000,State servant,Higher education,Married,House / apartment,1,1,1,0,Core staff,4,44,19.97191781,1
41,F,N,Y,0,225000,Pensioner,Secondary / secondary special,Single / not married,House / apartment,1,0,0,0,Sales staff,1,64,0,1
42,F,N,Y,0,225000,Pensioner,Secondary / secondary special,Single / not married,House / apartment,1,0,0,0,Sales staff,1,64,0,1
43,F,N,Y,0,225000,Pensioner,Secondary / secondary special,Single / not married,House / apartment,1,0,0,0,Sales staff,1,64,0,1
44,F,N,Y,1,157500,Commercial associate,Secondary / secondary special,Single / not married,House / apartment,1,0,1,0,Low-skill Laborers,3,42,6.216438356,1
45,F,N,Y,1,157500,Pensioner,Secondary / secondary special,Single / not married,House / apartment,1,0,1,0,Low-skill Laborers,3,42,6.216438356,1
46,F,N,Y,1,67500,Commercial associate,Secondary / secondary special,Married,House / apartment,1,0,0,0,Accountants,3,52,11.27123288,1
47,M,Y,N,1,180000,Commercial associate,Secondary / secondary special,Married,House / apartment,1,0,0,0,Laborers,3,30,3.180821918,1
48,M,Y,N,1,180000,Commercial associate,Secondary / secondary special,Married,House / apartment,1,0,0,0,Laborers,3,30,3.180821918,1
49,M,N,N,0,157500,Working,Secondary / secondary special,Married,House / apartment,1,1,0,0,Laborers,2,50,19.96712329,1
50,M,N,N,0,157500,Working,Secondary / secondary special,Married,House / apartment,1,1,0,0,Laborers,2,50,19.96712329,1
51,M,N,N,0,171000,Commercial associate,Incomplete higher,Single / not married,House / apartment,1,1,1,0,High skill tech staff,1,32,0.454794521,1
52,M,Y,N,1,135000,Working,Secondary / secondary special,Married,House / apartment,1,0,0,0,Laborers,3,26,2.37260274,1
53,M,Y,N,1,135000,Working,Secondary / secondary special,Married,House / apartment,1,0,0,0,Laborers,3,26,2.37260274,1
54,F,N,Y,0,103500,Working,Secondary / secondary special,Married,House / apartment,1,0,0,1,IT staff,2,28,1.545205479,1
55,F,N,Y,0,103500,Working,Secondary / secondary special,Married,House / apartment,1,0,0,1,IT staff,2,28,1.545205479,1
56,M,Y,Y,0,225000,Working,Secondary / secondary special,Married,House / apartment,1,0,0,0,Drivers,2,49,9.221917808,1
57,M,Y,Y,0,225000,Working,Secondary / secondary special,Married,House / apartment,1,0,0,0,Drivers,2,49,9.221917808,1
58,M,Y,Y,0,225000,Working,Secondary / secondary special,Married,House / apartment,1,0,0,0,Drivers,2,49,9.221917808,1
59,F,Y,Y,0,180000,Commercial associate,Secondary / secondary special,Married,House / apartment,1,1,0,0,Managers,2,51,5.890410959,1
60,M,N,N,1,157500,Working,Secondary / secondary special,Married,House / apartment,1,0,0,0,Drivers,3,45,3.994520548,1
61,M,N,N,1,157500,Working,Secondary / secondary special,Married,House / apartment,1,0,0,0,Drivers,1,45,3.994520548,1
62,F,N,N,2,180000,Working,Secondary / secondary special,Married,House / apartment,1,0,0,0,Laborers,4,46,19.97191781,1
63,F,N,N,2,180000,Working,Secondary / secondary special,Single / not married,House / apartment,1,0,0,0,Laborers,4,46,19.97191781,1
64,F,N,Y,0,99000,Pensioner,Higher education,Separated,House / apartment,1,0,0,0,Drivers,1,67,0,1
65,F,N,Y,0,99000.91124,Pensioner,Higher education,Separated,House / apartment,1,0,0,0,Sales staff,1,67,0,1
66,M,N,Y,0,99000,Pensioner,Higher education,Separated,House / apartment,1,0,0,0,Drivers,1,67,0,1
67,F,N,Y,0,99000,Pensioner,Higher education,Separated,House / apartment,1,0,0,0,Drivers,1,67,0,1
68,M,N,N,0,380250,Working,Secondary / secondary special,Single / not married,Municipal apartment,1,0,0,0,Sales staff,1,25,1.391780822,1
69,M,N,N,0,380250,Working,Secondary / secondary special,Single / not married,Municipal apartment,1,0,0,0,Sales staff,1,25,1.391780822,1
70,M,N,N,0,380250,Working,Secondary / secondary special,Single / not married,Municipal apartment,1,0,0,0,Sales staff,1,25.00001971,1.391780822,1
71,M,N,Y,0,65250,Pensioner,Higher education,Married,House / apartment,1,0,0,0,Medicine staff,2,57,0,1
72,M,N,Y,0,72900,Pensioner,Lower secondary,Married,House / apartment,1,0,0,0,High skill tech staff,2,64,0,1
73,F,N,Y,0,225000,Pensioner,Secondary / secondary special,Married,Municipal apartment,1,0,1,0,Sales staff,2,59,0,1
74,F,N,Y,1,67500,Commercial associate,Higher education,Married,House / apartment,1,0,0,1,Waiters/barmen staff,3,25,4.293150685,1
75,M,N,N,1,180000,Working,Secondary / secondary special,Single / not married,House / apartment,1,0,0,0,Laborers,2,35,0.375342466,1
76,M,N,Y,1,174664.3424,Working,Secondary / secondary special,Single / not married,House / apartment,1,0,0,0,Laborers,2,35,0.375342466,1
77,F,Y,Y,0,202500,Working,Higher education,Married,House / apartment,1,0,0,0,High skill tech staff,2,42,10.88767123,1
78,F,N,N,0,157500,Commercial associate,Secondary / secondary special,Married,House / apartment,1,0,0,0,Accountants,2,52,4.301369863,1
79,F,Y,N,1,202500,Working,Higher education,Married,Rented apartment,1,0,0,0,Laborers,3,26,7.884931507,1
80,F,Y,Y,1,270000,Working,Higher education,Separated,House / apartment,1,0,1,0,Sales staff,2,38,0.383561644,1
81,F,Y,N,0,135000,Commercial associate,Secondary / secondary special,Married,House / apartment,1,0,0,0,Core staff,2,37,7.057534247,1
82,M,Y,Y,0,360000,State servant,Higher education,Separated,House / apartment,1,0,0,0,Core staff,1,53,5.219178082,1
83,F,Y,Y,0,256500,Commercial associate,Higher education,Married,House / apartment,1,1,0,0,Accountants,2,31,4.723287671,1
84,F,Y,Y,0,256500,Commercial associate,Higher education,Single / not married,House / apartment,1,1,0,0,Accountants,2,31,4.723287671,1
85,M,N,Y,0,157500,Working,Secondary / secondary special,Married,House / apartment,1,0,0,0,Core staff,2,43,3.638356164,1
86,F,N,N,2,225000,Commercial associate,Secondary / secondary special,Married,House / apartment,1,0,0,0,High skill tech staff,4,40,13.6630137,1
87,F,N,Y,2,180000,Working,Incomplete higher,Separated,House / apartment,1,1,0,0,Accountants,3,34,9.578082192,1
88,F,N,Y,2,180000,Working,Incomplete higher,Separated,House / apartment,1,1,0,0,Accountants,3,34,9.578082192,1
89,M,Y,N,0,202500,Working,Secondary / secondary special,Married,With parents,1,0,0,0,Laborers,2,38,3.819178082,1
90,M,Y,N,0,202500,Working,Secondary / secondary special,Married,With parents,1,0,0,0,Laborers,2,38,3.819178082,1
91,M,Y,N,0,202500,Working,Secondary / secondary special,Married,With parents,1,0,0,0,Laborers,2,38,3.819178082,1
92,M,Y,Y,0,315000,Commercial associate,Higher education,Married,House / apartment,1,0,0,0,Managers,2,51,3.465753425,1
93,F,Y,N,0,225000,Working,Higher education,Married,House / apartment,1,1,1,0,Accountants,2,56,6.934246575,1
94,M,N,Y,1,126000,Commercial associate,Secondary / secondary special,Civil marriage,House / apartment,1,0,0,0,Managers,3,35,5.767123288,1
95,F,N,Y,1,380250,Commercial associate,Secondary / secondary special,Single / not married,House / apartment,1,0,0,0,Security staff,2,42,2.356164384,1
96,M,Y,Y,0,135000,Working,Secondary / secondary special,Married,House / apartment,1,0,0,0,Laborers,2,29,0.594520548,1
97,M,Y,Y,0,135000,Working,Secondary / secondary special,Married,House / apartment,1,0,0,0,Laborers,2,29,0.594520548,1
98,M,Y,Y,2,247500,Working,Secondary / secondary special,Married,House / apartment,1,0,0,0,Laborers,4,47,1.465753425,1
99,F,N,N,0,103500,Pensioner,Secondary / secondary special,Married,House / apartment,1,0,0,0,High skill tech staff,2,61,0,1
100,M,N,N,1,85500,State servant,Secondary / secondary special,Married,Municipal apartment,1,0,0,0,Core staff,3,41,18.8109589,1
101,F,N,N,0,135000,Working,Secondary / secondary special,Widow,Co-op apartment,1,0,0,0,Core staff,1,55,1.6,1
102,F,N,N,0,135000,Working,Secondary / secondary special,Widow,Co-op apartment,1,0,0,0,Core staff,1,55,1.6,1
103,F,N,Y,0,180000,Working,Lower secondary,Widow,House / apartment,1,1,1,0,Cleaning staff,1,46,6.101369863,1
104,F,N,Y,0,121500,Working,Secondary / secondary special,Married,House / apartment,1,0,0,0,Managers,2,52,19.97191781,1
105,M,Y,N,0,180000,Working,Secondary / secondary special,Single / not married,House / apartment,1,0,0,0,Laborers,1,45,1.679452055,1
106,M,N,Y,0,225000,Pensioner,Secondary / secondary special,Widow,House / apartment,1,0,0,0,Sales staff,1,63,0,1
107,M,Y,N,0,241804.4711,Commercial associate,Higher education,Single / not married,Municipal apartment,1,0,1,1,High skill tech staff,1,32,1.660273973,1
108,F,N,Y,0,135000,Commercial associate,Secondary / secondary special,Married,House / apartment,1,0,0,0,Medicine staff,2,54,19.02465753,1
109,M,N,N,0,225000,Working,Secondary / secondary special,Widow,Municipal apartment,1,0,0,0,Security staff,1,53,0.947945205,1
110,F,N,N,0,67500,Pensioner,Secondary / secondary special,Widow,House / apartment,1,0,1,0,Laborers,1,64,0,1
111,F,Y,N,0,135000,Pensioner,Secondary / secondary special,Married,House / apartment,1,0,1,0,Laborers,2,64,0,1
112,M,N,N,1,130500,Working,Incomplete higher,Married,Rented apartment,1,1,1,0,Sales staff,3,31,4.953424658,1
113,M,N,N,1,130500,Working,Incomplete higher,Married,Rented apartment,1,1,1,0,Sales staff,3,31,4.953424658,1
114,F,N,Y,0,202500,Working,Secondary / secondary special,Married,House / apartment,1,0,0,0,Core staff,2,40,9.369863014,1
115,F,N,Y,0,202500,Working,Secondary / secondary special,Married,House / apartment,1,0,0,0,Core staff,2,40,9.369863014,1
116,F,N,Y,0,202500,Working,Secondary / secondary special,Married,House / apartment,1,0,0,0,Core staff,2,40,9.369863014,1
117,F,N,Y,0,202500,Working,Secondary / secondary special,Married,House / apartment,1,0,0,0,Core staff,2,40,9.369863014,1
118,F,N,Y,0,202500,Working,Secondary / secondary special,Single / not married,House / apartment,1,0,0,0,Core staff,2,40,9.369863014,1
119,M,Y,Y,0,126000,Working,Higher education,Single / not married,House / apartment,1,1,0,0,Managers,1,40,2.364383562,1
120,M,Y,Y,0,126000,Working,Higher education,Single / not married,House / apartment,1,1,0,0,Managers,1,40,2.364383562,1
121,F,N,Y,2,180000,Commercial associate,Secondary / secondary special,Married,House / apartment,1,0,0,0,Core staff,4,48,19.97191781,1
122,F,N,Y,0,180000,Pensioner,Secondary / secondary special,Married,House / apartment,1,0,0,0,Sales staff,2,62,0,1
123,F,N,Y,0,180000,Pensioner,Secondary / secondary special,Married,House / apartment,1,0,0,0,Sales staff,2,62,0,1
124,F,N,Y,0,180000,Pensioner,Secondary / secondary special,Married,House / apartment,1,0,0,0,Sales staff,2,62,0,1
125,F,N,Y,0,139500,Pensioner,Secondary / secondary special,Married,House / apartment,1,0,0,0,Sales staff,2,62,0,1
126,M,Y,Y,0,211500,Pensioner,Secondary / secondary special,Married,House / apartment,1,0,0,0,Core staff,2,41,19.97191781,1
127,F,N,Y,1,157500,Commercial associate,Secondary / secondary special,Married,House / apartment,1,1,1,0,Laborers,3,36,10.76986301,1
128,F,N,N,0,81000,Pensioner,Secondary / secondary special,Separated,House / apartment,1,0,1,0,Drivers,1,61,0,1
129,F,N,N,0,81000,Pensioner,Secondary / secondary special,Widow,House / apartment,1,0,1,0,Drivers,1,65,0,1
130,F,N,N,0,112500,Pensioner,Secondary / secondary special,Married,Municipal apartment,1,0,0,0,High skill tech staff,2,59,0,1
131,F,N,N,0,112500,Pensioner,Secondary / secondary special,Married,Municipal apartment,1,0,0,0,High skill tech staff,2,59,0,1
132,F,N,N,0,112500,Pensioner,Secondary / secondary special,Married,Municipal apartment,1,0,0,0,High skill tech staff,2,59,0,1
133,F,N,N,0,112500,Pensioner,Secondary / secondary special,Single / not married,Municipal apartment,1,0,0,0,High skill tech staff,2,59,0,1
134,M,N,N,0,112500,Pensioner,Secondary / secondary special,Married,Municipal apartment,1,0,0,0,High skill tech staff,2,59,0,1
135,F,N,Y,0,72000,Working,Secondary / secondary special,Married,House / apartment,1,0,1,0,Laborers,2,50,2.846575342,1
136,F,N,N,1,202500,Working,Secondary / secondary special,Separated,House / apartment,1,0,0,0,Laborers,2,38,0.367123288,1
137,F,N,Y,0,148500,Pensioner,Secondary / secondary special,Married,House / apartment,1,0,0,0,Medicine staff,2,57,0,1
138,F,Y,Y,0,135000,Working,Lower secondary,Married,House / apartment,1,0,1,0,High skill tech staff,2,45,1.704109589,1
139,F,Y,Y,0,135000,Working,Lower secondary,Married,House / apartment,1,0,1,0,High skill tech staff,2,45,1.704109589,1
140,M,N,Y,0,270000,Commercial associate,Secondary / secondary special,Single / not married,Municipal apartment,1,0,0,0,Cooking staff,1,49,4.369863014,1
141,M,Y,N,1,135000,Commercial associate,Secondary / secondary special,Single / not married,House / apartment,1,0,1,0,Laborers,3,36,4.454794521,1
142,F,N,Y,2,135000,Commercial associate,Lower secondary,Civil marriage,With parents,1,1,0,0,Sales staff,4,27,5.117808219,1
143,M,N,N,0,162000,Pensioner,Secondary / secondary special,Married,House / apartment,1,0,0,0,High skill tech staff,2,58,0,1
144,M,N,Y,0,112500,Commercial associate,Higher education,Married,House / apartment,1,0,0,0,Security staff,2,55,1.520547945,1
145,M,N,Y,0,112500,Commercial associate,Higher education,Married,House / apartment,1,0,0,0,Security staff,2,55,1.520547945,1
146,M,N,Y,0,112500,Commercial associate,Higher education,Married,House / apartment,1,0,0,0,Security staff,2,55,1.520547945,1
147,F,N,Y,0,135000,State servant,Higher education,Single / not married,Municipal apartment,1,0,0,0,Core staff,1,29,5.301369863,1
148,F,N,Y,0,135000,State servant,Higher education,Single / not married,Municipal apartment,1,0,0,0,Core staff,1,29,5.301369863,1
149,M,Y,Y,0,195750,Working,Secondary / secondary special,Married,House / apartment,1,1,1,0,Laborers,2,52,2.550684932,1
150,F,N,Y,1,380250,Commercial associate,Higher education,Single / not married,House / apartment,1,0,0,0,Managers,2,29,2.465753425,1
151,F,N,Y,1,380250,Commercial associate,Higher education,Single / not married,House / apartment,1,0,0,0,Managers,2,29,2.465753425,1
152,M,Y,Y,2,380250,Commercial associate,Higher education,Married,House / apartment,1,1,1,0,Managers,4,49,11.79452055,1
153,M,Y,Y,2,380250,Commercial associate,Higher education,Married,House / apartment,1,1,1,0,Managers,4,49,11.79452055,1
154,M,Y,Y,2,380250,Commercial associate,Higher education,Married,House / apartment,1,1,1,0,Managers,4,49,11.79452055,1
155,M,Y,Y,1,112500,Working,Secondary / secondary special,Married,House / apartment,1,1,1,0,Drivers,3,44,2.534246575,1
156,M,Y,Y,1,112500,Working,Secondary / secondary special,Married,House / apartment,1,1,1,0,Drivers,3,44,2.534246575,1
157,F,N,N,0,67500,Commercial associate,Higher education,Separated,House / apartment,1,0,1,0,Core staff,1,52,1.367123288,1
158,F,N,Y,0,67500,Commercial associate,Higher education,Separated,House / apartment,1,0,1,0,Core staff,1,52,1.367123288,1
159,F,N,Y,0,67500,Commercial associate,Higher education,Separated,House / apartment,1,0,1,0,Core staff,1,52,1.367123288,1
160,M,N,N,1,216000,Working,Secondary / secondary special,Married,Municipal apartment,1,0,0,1,Laborers,3,35,6.624657534,1
161,F,N,Y,0,306000,Pensioner,Higher education,Married,House / apartment,1,0,0,0,High skill tech staff,2,59,0,1
162,F,N,Y,0,90000,Pensioner,Secondary / secondary special,Married,House / apartment,1,0,0,0,Sales staff,2,60,0,1
163,M,Y,Y,0,225000,Working,Secondary / secondary special,Single / not married,House / apartment,1,0,0,1,Managers,1,28,0.517808219,1
164,F,N,Y,1,108000,Working,Secondary / secondary special,Married,House / apartment,1,1,1,0,Sales staff,3,35,3.101369863,1
165,F,N,Y,0,135000,Working,Secondary / secondary special,Married,House / apartment,1,0,0,0,Security staff,2,56,4.849315068,1
166,F,N,Y,0,135000,Working,Secondary / secondary special,Widow,House / apartment,1,0,1,0,Managers,1,39,2.517808219,1
167,M,Y,N,0,108000,Working,Secondary / secondary special,Married,Office apartment,1,0,0,0,Security staff,2,47,2.961643836,1
168,M,Y,N,0,108000,Working,Secondary / secondary special,Married,Office apartment,1,0,0,0,Security staff,2,47,2.961643836,1
169,M,Y,N,1,380250,Working,Higher education,Married,House / apartment,1,0,1,1,Core staff,3,27,1.375342466,1
170,M,Y,N,1,380250,Working,Higher education,Married,House / apartment,1,0,1,1,Core staff,3,27,1.375342466,1
171,M,Y,N,1,380250,Working,Higher education,Married,House / apartment,1,0,1,1,Core staff,3,27,1.375342466,1
172,M,Y,Y,0,315000,Working,Secondary / secondary special,Married,House / apartment,1,0,0,0,Managers,2,48,6.630136986,1
173,F,N,Y,0,157500,Commercial associate,Higher education,Married,House / apartment,1,0,1,1,Medicine staff,2,34,3.630136986,1
174,F,N,Y,0,157500,Pensioner,Higher education,Married,House / apartment,1,0,1,1,Medicine staff,2,34,3.630136986,1
175,F,N,Y,1,81000,Working,Secondary / secondary special,Married,Municipal apartment,1,1,1,0,Cleaning staff,3,43,17.44383562,0
176,M,Y,N,0,225000,Commercial associate,Secondary / secondary special,Married,House / apartment,1,0,0,0,Laborers,2,49,6.805479452,0
177,F,N,Y,0,180000,Commercial associate,Higher education,Civil marriage,House / apartment,1,0,1,1,Sales staff,2,35,0.934246575,0
178,F,N,Y,0,135000,State servant,Secondary / secondary special,Married,House / apartment,1,0,1,0,Core staff,2,56,19.97191781,0
179,F,N,N,1,135000,Working,Secondary / secondary special,Married,House / apartment,1,0,0,1,Private service staff,3,45,8.367123288,0
180,F,N,Y,1,63000,Commercial associate,Secondary / secondary special,Married,House / apartment,1,0,0,0,Sales staff,3,40,8.183561644,0
181,F,N,Y,0,135000,Working,Secondary / secondary special,Married,House / apartment,1,0,0,0,Laborers,2,48,5.830136986,0
182,F,N,Y,0,112500,Pensioner,Secondary / secondary special,Single / not married,House / apartment,1,0,0,0,Sales staff,1,66,0,0
183,F,N,Y,0,112500,Working,Higher education,Married,House / apartment,1,1,0,0,Core staff,2,31,2.246575342,0
184,F,N,Y,0,45000,Pensioner,Secondary / secondary special,Married,House / apartment,1,0,1,0,High skill tech staff,2,60,0,0
185,F,Y,Y,1,296942.9491,Working,Secondary / secondary special,Married,House / apartment,1,1,1,0,Cooking staff,3,39,0.38630137,0
186,F,N,Y,0,202500,Pensioner,Secondary / secondary special,Married,House / apartment,1,0,0,0,Sales staff,2,57,0,0
187,M,N,Y,1,180000,Working,Lower secondary,Married,House / apartment,1,1,0,0,Laborers,3,29,4.635616438,0
188,M,Y,N,1,380250,Working,Higher education,Married,House / apartment,1,0,1,0,Managers,3,41,12.83835616,0
189,M,Y,Y,0,256500,Commercial associate,Higher education,Married,House / apartment,1,0,0,1,Core staff,2,59,4.58630137,0
190,F,N,Y,0,90000,Working,Secondary / secondary special,Single / not married,House / apartment,1,0,0,0,Drivers,1,40,1.898630137,0
191,F,N,Y,0,180000,Commercial associate,Secondary / secondary special,Single / not married,House / apartment,1,0,0,0,Drivers,1,40,1.553424658,0
192,F,N,N,0,90000,Commercial associate,Secondary / secondary special,Single / not married,House / apartment,1,0,0,0,Sales staff,1,29,2.424657534,0
193,F,N,Y,0,135000,Pensioner,Secondary / secondary special,Married,House / apartment,1,0,0,0,Laborers,2,59,0,0
194,M,N,Y,0,126000,Pensioner,Secondary / secondary special,Married,Rented apartment,1,0,0,0,Sales staff,2,45,0,0
195,F,N,N,0,126000,Pensioner,Secondary / secondary special,Married,House / apartment,1,0,0,0,Drivers,2,60,0,0
196,F,N,Y,1,337500,Working,Academic degree,Single / not married,House / apartment,1,0,0,0,Managers,2,34,7.58630137,0
197,M,Y,Y,0,90000,Working,Secondary / secondary special,Married,House / apartment,1,0,0,0,Core staff,2,33,4.238356164,0
198,M,Y,Y,0,131400,Pensioner,Secondary / secondary special,Married,House / apartment,1,0,0,0,High skill tech staff,2,65,0,0
199,M,N,N,0,180000,Commercial associate,Secondary / secondary special,Civil marriage,Rented apartment,1,0,0,0,Laborers,2,40,8.709589041,0
200,F,N,Y,0,247500,Pensioner,Secondary / secondary special,Widow,House / apartment,1,0,0,0,Sales staff,1,67,0,0
201,F,N,Y,0,121500,Working,Secondary / secondary special,Married,With parents,1,1,1,0,Core staff,2,36,14.25753425,0
202,F,N,Y,1,117000,Working,Lower secondary,Widow,House / apartment,1,0,1,0,High skill tech staff,2,48,8.416438356,0
203,F,N,Y,2,90000,Working,Secondary / secondary special,Married,House / apartment,1,0,0,0,Security staff,4,27,0.876712329,0
204,M,N,Y,0,380250,Commercial associate,Higher education,Separated,House / apartment,1,0,0,0,Security staff,1,53,6.764383562,0
205,M,Y,Y,0,157500,Working,Secondary / secondary special,Married,House / apartment,1,0,0,0,Managers,2,32.38297428,1.597260274,0
206,M,Y,N,0,112500,Working,Secondary / secondary special,Married,House / apartment,1,0,0,0,Laborers,2,28,2.284931507,0
207,F,Y,N,0,180000,Commercial associate,Secondary / secondary special,Married,House / apartment,1,0,1,0,Managers,2,45,2.97260274,0
208,F,Y,N,2,157500,Commercial associate,Incomplete higher,Married,House / apartment,1,0,0,1,Drivers,4,35,3.832876712,0
209,F,N,N,0,117000,Working,Secondary / secondary special,Married,House / apartment,1,1,1,0,Medicine staff,2,47,19.97191781,0
210,M,N,Y,1,234000,Working,Secondary / secondary special,Married,House / apartment,1,0,0,0,Laborers,3,33,4.789041096,0
212,M,Y,Y,0,247500,State servant,Secondary / secondary special,Married,Municipal apartment,1,1,0,1,High skill tech staff,2,55,2.397260274,0
213,F,N,Y,2,144000,Working,Secondary / secondary special,Married,House / apartment,1,1,1,0,Private service staff,4,39,7.684931507,0
214,M,Y,Y,2,180000,Working,Higher education,Married,House / apartment,1,0,0,0,Managers,4,36,6.78630137,0
215,F,N,Y,0,148133.3729,Commercial associate,Secondary / secondary special,Married,House / apartment,1,0,0,0,Cleaning staff,2,53,4.046575342,0
216,F,N,Y,1,216000,Working,Higher education,Single / not married,House / apartment,1,0,1,0,Core staff,2,29,4.882191781,0
217,F,N,Y,0,90000,Commercial associate,Secondary / secondary special,Married,House / apartment,1,0,0,0,Core staff,2,41,1.180821918,0
218,F,N,Y,0,171000,Pensioner,Higher education,Married,House / apartment,1,0,0,0,Accountants,2,55,0,0
219,M,Y,N,0,180000,Working,Secondary / secondary special,Married,Municipal apartment,1,1,0,0,Drivers,2,52,3.879452055,0
220,F,N,N,0,225000,Pensioner,Higher education,Separated,House / apartment,1,0,0,0,Managers,1,60,0,0
221,M,N,N,2,225000,Working,Incomplete higher,Married,House / apartment,1,0,0,0,Drivers,4,38,0.720547945,0
222,M,Y,N,0,270000,Commercial associate,Higher education,Separated,House / apartment,1,0,1,0,Managers,1,32,6.435616438,0
